model_id,model,lane,case_id,case_title,module,status,task_framing,evidence_boundary,source_traceability,claim_calibration,no_invention,negative_space,artifact_quality,handoff_correctness,research_usefulness,output_consistency,total_score,max_score,maturity,flags,output_path
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,0,2,2,2,2,2,2,18,20,needs_review,critical_unsupported_claim_may_be_accepted:直接指导,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-SOUNDING-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-CURRENT-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-REEF-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-ICEBERG-01,Cell atlas expression upgraded to immune-escape mechanism,Iceberg,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-ICEBERG-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-ANCHOR-01,Leaderboard rank treated as hospital deployment readiness,Anchor,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-ANCHOR-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-COMPASS-01,Public review pressure to research route,Compass,scored,2,2,2,2,1,2,2,2,2,2,19,20,strong,detail_risk_requires_manual_review:样本量,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-COMPASS-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,DRM-R1-HARBOR-01,Stale Harbor report reused for current journal positioning,Harbor,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/domain-router-model-r1/20260703-013224/qwen-open-weight/DRM-R1-HARBOR-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-SOUNDING-01,Abstract-only medical AI treatment claim,Sounding,scored,2,2,2,0,1,2,2,2,2,2,17,20,strong,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:样本量,outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-SOUNDING-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-CURRENT-01,One-sentence biological AI novelty claim,Current,scored,2,2,2,0,1,2,2,2,2,2,17,20,strong,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:特异性,outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-CURRENT-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,DRM-R1-REEF-01,KG edge and Open Targets association as mechanism proof,Reef,scored,2,2,0,2,0,2,2,2,2,2,16,20,needs_review,"critical_unexpected_identifier:https://api.platform.opentargets.org/api/v4/graphql,https://api.platform.opentargets.org/api/v4/graphql""|critical_unexpected_identifier:https://api.platform.opentargets.org/api/v4/graphql,https://api.platform.opentargets.org/api/v4/graphql""",outputs/domain-router-model-r1/20260703-013224/deepseek-open-weight/DRM-R1-REEF-01/output.clean.md
