model_id,model,lane,case_id,case_title,module,status,task_framing,evidence_boundary,source_traceability,claim_calibration,no_invention,negative_space,artifact_quality,handoff_correctness,research_usefulness,output_consistency,total_score,max_score,maturity,flags,output_path
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,2,2,2,2,2,2,2,2,2,2,20,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/qwen-open-weight/IDEA-M3R1-CURRENT-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,2,2,2,1,2,2,2,2,2,2,19,20,strong,,outputs/idea-scout-m3-r1-full/20260702-220808/qwen-open-weight/IDEA-M3R1-CURRENT-02/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,2,2,2,2,2,1,2,2,2,2,19,20,strong,partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/qwen-open-weight/IDEA-M3R1-COMPASS-01/output.clean.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,2,2,2,1,1,2,2,2,2,2,18,20,strong,"detail_risk_requires_manual_review:样本量,准确率",outputs/idea-scout-m3-r1-full/20260702-220808/qwen-open-weight/IDEA-M3R1-COMPASS-02/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,2,2,2,0,2,2,1,2,2,2,17,20,strong,no_clear_unsupported_claim_downgrade|partial_module_artifact,outputs/idea-scout-m3-r1-full/20260702-220808/deepseek-open-weight/IDEA-M3R1-CURRENT-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,2,2,2,0,2,2,2,2,2,2,18,20,strong,no_clear_unsupported_claim_downgrade,outputs/idea-scout-m3-r1-full/20260702-220808/deepseek-open-weight/IDEA-M3R1-CURRENT-02/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,IDEA-M3R1-COMPASS-01,Reviewer-pressure to idea without novelty inflation,Compass,scored,2,2,2,0,1,1,2,2,2,2,16,20,developing,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:准确率|partial_negative_space,outputs/idea-scout-m3-r1-full/20260702-220808/deepseek-open-weight/IDEA-M3R1-COMPASS-01/output.clean.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,IDEA-M3R1-COMPASS-02,One-sentence idea to bounded research plan,Compass,scored,2,2,2,0,1,2,2,2,2,2,17,20,needs_review,"critical_unsupported_claim_may_be_accepted:保证|detail_risk_requires_manual_review:准确率,特异性",outputs/idea-scout-m3-r1-full/20260702-220808/deepseek-open-weight/IDEA-M3R1-COMPASS-02/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,IDEA-M3R1-CURRENT-01,Peer-review metadata is not a trend survey,Current,scored,0,2,2,1,2,2,1,2,1,2,15,20,needs_review,critical_active_module_not_framed|partial_module_artifact|limited_research_usefulness,outputs/idea-scout-m3-r1-full/20260702-220808/kimi-moonshot-stable-fallback/IDEA-M3R1-CURRENT-01/output.clean.md
kimi-moonshot-stable-fallback,Kimi moonshot-v1-128k,open-weight reproducibility,IDEA-M3R1-CURRENT-02,Small seed list cannot define the whole medical and biological AI field,Current,scored,0,2,2,0,2,2,1,2,2,2,15,20,needs_review,critical_active_module_not_framed|no_clear_unsupported_claim_downgrade|partial_module_artifact,outputs/idea-scout-m3-r1-full/20260702-220808/kimi-moonshot-stable-fallback/IDEA-M3R1-CURRENT-02/output.clean.md
