slug,name,family,stage,score,interface_layer,local_smoke_status,best_interface,smoke_command,handoff
bcftools,bcftools,alignment_file_operations,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bcftools --version,Anchor
bedtools,BEDTools,alignment_file_operations,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bedtools --version,Anchor
htslib,HTSlib,alignment_file_operations,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bgzip --version,Anchor
samtools,SAMtools,alignment_file_operations,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,samtools --version,Anchor
deseq2,DESeq2,differential_expression,stage_2_local_smoke_executed,10,r_bioconductor_rscript,executed,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('DESeq2')))""",Anchor
edger,edgeR,differential_expression,stage_1_plan_ready_environment_missing,8,r_bioconductor_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('edgeR')))""",Anchor
limma_voom,limma-voom,differential_expression,stage_2_local_smoke_executed,10,r_bioconductor_rscript,executed,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('limma')))""",Anchor
sleuth,sleuth,differential_expression,stage_1_plan_ready_environment_missing,8,r_bioconductor_or_rscript,not_available_current_environment,r_package,"Rscript -e ""cat(as.character(utils::packageVersion('sleuth')))""",Anchor
deeptools,deepTools,epigenomics_peak_calling,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import deeptools; print(getattr(deeptools, '__version__', 'version_not_exposed'))""",Anchor
fimo,FIMO,epigenomics_peak_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,fimo --version,Anchor
homer,HOMER,epigenomics_peak_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,findMotifsGenome.pl --version,Anchor
macs2,MACS2,epigenomics_peak_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,macs2 --version,Anchor
macs3,MACS3,epigenomics_peak_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,macs3 --version,Anchor
meme,MEME,epigenomics_peak_calling,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,meme --version,Anchor
bakta,Bakta,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,bakta --version,Anchor
busco,BUSCO,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,busco --version,Anchor
canu,Canu,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,canu --version,Anchor
checkm,CheckM,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,checkm --version,Anchor
eggnog_mapper,eggNOG-mapper,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,emapper.py --version,Anchor
flye,Flye,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,flye --version,Anchor
interproscan,InterProScan,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,interproscan.sh --version,Anchor
megahit,MEGAHIT,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,megahit --version,Anchor
prokka,Prokka,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,prokka --version,Anchor
quast,QUAST,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,quast.py --version,Anchor
raven,Raven,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,raven --version,Anchor
spades,SPAdes,genome_assembly_annotation,stage_1_plan_ready_environment_missing,8,lightweight_cli_subprocess,not_available_current_environment,none_found,spades.py --version,Anchor
three_d_slicer,3D Slicer,imaging_signal_ml,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,Slicer --version,Anchor
itk_snap,ITK-SNAP,imaging_signal_ml,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,itksnap --version,Anchor
monai,MONAI,imaging_signal_ml,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import monai; print(getattr(monai, '__version__', 'version_not_exposed'))""",Anchor
nnu_net,nnU-Net,imaging_signal_ml,stage_1_plan_ready_environment_missing,8,heavy_cli_api_or_container_launcher,not_available_current_environment,none_found,nnUNetv2_train --version,Anchor
simpleitk,SimpleITK,imaging_signal_ml,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import SimpleITK; print(getattr(SimpleITK, '__version__', 'version_not_exposed'))""",Anchor
torchio,TorchIO,imaging_signal_ml,stage_1_plan_ready_environment_missing,8,python_import_or_subprocess,not_available_current_environment,python_import,"python3 -c ""import torchio; print(getattr(torchio, '__version__', 'version_not_exposed'))""",Anchor
