model_id,model,lane,case_id,case_title,module,status,evidence_boundary,claim_downgrade,no_invention,artifact_quality,handoff_correctness,research_usefulness,total_score,max_score,maturity,flags,output_path
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-SOUNDING-01,Proposal source-packet setup for biomedical AI workflow,Sounding,scored,2,0,2,1,2,2,9,12,developing,no_clear_unsupported_claim_downgrade|partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-SOUNDING-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-CURRENT-01,Trend boundary for collaborative biomedical AI agents,Current,scored,2,1,1,2,2,2,10,12,strong,detail_risk_requires_manual_review:样本量,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-CURRENT-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-REEF-01,Resource/API map without live database query,Reef,scored,2,0,2,1,2,2,9,12,developing,no_clear_unsupported_claim_downgrade|partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-REEF-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-ICEBERG-01,Surface claim audit for proposal-to-paper transition,Iceberg,scored,2,1,1,1,2,2,9,12,developing,detail_risk_requires_manual_review:准确率|partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-ICEBERG-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-ANCHOR-01,Validation plan for claim-evidence workflow,Anchor,scored,2,1,1,2,2,2,10,12,strong,"detail_risk_requires_manual_review:样本量,准确率",outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-ANCHOR-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-COMPASS-01,Reviewer-pressure to idea card with missing evidence,Compass,scored,2,0,2,2,2,2,10,12,strong,no_clear_unsupported_claim_downgrade,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-COMPASS-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-HARBOR-01,Project memory without inventing contribution history,Harbor,scored,2,2,2,1,2,2,11,12,strong,partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-HARBOR-01/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-REEF-02,Endpoint-invention trap for official resource adapters,Reef,scored,2,1,2,0,2,2,9,12,developing,generic_or_missing_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-REEF-02/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-ANCHOR-02,Benchmark fairness and leakage plan for multi-model OCEAN eval,Anchor,scored,2,0,2,1,2,2,9,12,developing,no_clear_unsupported_claim_downgrade|partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-ANCHOR-02/output.md
qwen-open-weight,Qwen qwen3.7-max,open-weight reproducibility,CW-R1-HARBOR-02,Sleep-time handoff report for next development day,Harbor,scored,2,1,2,1,2,2,10,12,strong,partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/qwen-open-weight/CW-R1-HARBOR-02/output.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,CW-R1-SOUNDING-01,Proposal source-packet setup for biomedical AI workflow,Sounding,scored,2,0,1,1,2,2,8,12,developing,no_clear_unsupported_claim_downgrade|detail_risk_requires_manual_review:样本量|partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/deepseek-open-weight/CW-R1-SOUNDING-01/output.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,CW-R1-CURRENT-01,Trend boundary for collaborative biomedical AI agents,Current,scored,2,2,2,2,2,2,12,12,strong,,outputs/collaborative-workflow-r1/20260702-011442/deepseek-open-weight/CW-R1-CURRENT-01/output.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,CW-R1-REEF-01,Resource/API map without live database query,Reef,scored,2,2,1,2,2,2,11,12,strong,detail_risk_requires_manual_review:特异性,outputs/collaborative-workflow-r1/20260702-011442/deepseek-open-weight/CW-R1-REEF-01/output.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,CW-R1-ICEBERG-01,Surface claim audit for proposal-to-paper transition,Iceberg,scored,2,2,2,1,2,2,11,12,strong,partial_module_artifact,outputs/collaborative-workflow-r1/20260702-011442/deepseek-open-weight/CW-R1-ICEBERG-01/output.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,CW-R1-ANCHOR-01,Validation plan for claim-evidence workflow,Anchor,scored,2,1,1,1,2,2,9,12,developing,"detail_risk_requires_manual_review:样本量,准确率|partial_module_artifact",outputs/collaborative-workflow-r1/20260702-011442/deepseek-open-weight/CW-R1-ANCHOR-01/output.md
deepseek-open-weight,DeepSeek deepseek-v4-pro,open-weight reproducibility,CW-R1-COMPASS-01,Reviewer-pressure to idea card with missing evidence,Compass,scored,2,2,1,2,2,2,11,12,strong,detail_risk_requires_manual_review:外部验证结果,outputs/collaborative-workflow-r1/20260702-011442/deepseek-open-weight/CW-R1-COMPASS-01/output.md
