id,score,max_score,verdict,expected_routes,route_classes,route_misses,term_misses,all_candidate,has_packet_fields,unsafe_claim
R3-REEF-001,12,12,pass,bioinformatics_software,bioinformatics_software;clinical;omics,,,True,True,QC reports prove no bias
R3-REEF-002,12,12,pass,bioinformatics_software,bioinformatics_software;omics,,,True,True,preprocessing proves downstream biological validity
R3-REEF-003,12,12,pass,bioinformatics_software,bioinformatics_software,,,True,True,assembly metrics prove pathogenic mechanism
R3-REEF-004,12,12,pass,bioinformatics_software;protein_structure,bioinformatics_software;protein_structure,,,True,True,annotation proves experimental function
R3-REEF-005,12,12,pass,bioinformatics_software;omics,bioinformatics_software;omics,,,True,True,spatial deconvolution proves causal interaction
R3-REEF-006,12,12,pass,bioinformatics_software;omics;pathway_gene_set,bioinformatics_software;omics;pathway_gene_set,,,True,True,multi-omics integration proves causality
R3-REEF-007,12,12,pass,bioinformatics_software;clinical;clinical_imaging_signal,bioinformatics_software;clinical;clinical_imaging_signal,,,True,True,segmentation benchmark proves deployment readiness
R3-REEF-008,12,12,pass,benchmark;clinical;clinical_imaging_signal,benchmark;clinical;clinical_imaging_signal,,,True,True,external split alone proves clinical utility
R3-REEF-009,12,12,pass,benchmark;clinical;clinical_imaging_signal,benchmark;bioinformatics_software;clinical;clinical_imaging_signal,,,True,True,small held-out test set proves diagnosis readiness
R3-REEF-010,12,12,pass,bioinformatics_software,bioinformatics_software,,,True,True,workflow tooling proves full reproducibility
R3-REEF-011,12,12,pass,clinical;clinical_imaging_signal,clinical;clinical_imaging_signal,,,True,True,dataset names prove cross-hospital generalization
R3-REEF-012,12,12,pass,bioinformatics_software;omics,bioinformatics_software;omics,,,True,True,cell type annotation proves causality
