slug,name,family,maturity,capability_tier,local_smoke_status,best_interface,entrypoint,handoff,requires_availability_smoke,real_run_required,next_action
alevin_fry,Alevin-fry,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
alphafold,AlphaFold,structure_modeling,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
alphafold_db,AlphaFold DB,structure_modeling,L2/L3 source-packet adapter,source_packet_adapter,executed,ocean_local_adapter,skills/ocean/scripts/tools/bioinformatics/alphafold_db/run_eval.py,Anchor,True,True,Promote with real inspected files next; keep adapter outputs bounded by source-packet limitations.
azimuth,Azimuth,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,r_package,Azimuth,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
bakta,Bakta,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
bcftools,bcftools,alignment_file_operations,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
bedtools,BEDTools,alignment_file_operations,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
blast,BLAST,sequence_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,High-priority practical wrapper candidate: add install/container notes and a focused smoke fixture before promising execution.
bowtie2,Bowtie2,sequence_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
bracken,Bracken,microbiome_metagenomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
busco,BUSCO,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
bwa,BWA,sequence_alignment,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
canu,Canu,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
cell2location,cell2location,spatial_transcriptomics,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,cell2location,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
cell_ranger,Cell Ranger,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
celltypist,CellTypist,single_cell_analysis,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,python_import,celltypist,Anchor,True,True,"Environment-dependent tool: document installation/container requirements, then rerun real-tool smoke eval."
checkm,CheckM,genome_assembly_annotation,L0/L1 scaffold,source_packet_scaffold,not_available_current_environment,none_found,,Anchor,True,True,"Keep as scaffold until a real local tool, container, workflow record, or inspected output is available."
